number: 2   score: [0.50138956]token: 5
number: 4   score: [0.9306164]token: 81
number: 5   score: [0.33166078]token: 50
number: 7   score: [0.26564646]token: 32
number: 8   score: [0.60446995]token: 22
number: 9   score: [0.32568756]token: 7
number: 10   score: [0.3760596]token: 6
number: 11   score: [0.9635964]token: 95
number: 12   score: [0.17704605]token: 32
number: 13   score: [0.27012548]token: 10
number: 14   score: [0.04088722]token: 45
number: 15   score: [0.36311337]token: 5
number: 17   score: [0.9793341]token: 64
number: 18   score: [7.9374104e-07]token: 262
number: 20   score: [0.21011905]token: 114
number: 21   score: [0.46512625]token: 10
number: 22   score: [0.99632555]token: 113
number: 23   score: [0.9999968]token: 313
number: 24   score: [0.9992049]token: 205
number: 26   score: [0.5651534]token: 50
number: 27   score: [0.9302481]token: 108
number: 28   score: [8.7493145e-06]token: 1024
number: 29   score: [0.25433475]token: 14
number: 32   score: [0.2187571]token: 60
number: 33   score: [0.4066018]token: 17
number: 34   score: [0.31758255]token: 28
number: 35   score: [0.37905207]token: 6
number: 36   score: [0.8671145]token: 110
number: 37   score: [0.00102636]token: 143
number: 38   score: [0.69358844]token: 13
number: 39   score: [0.8827932]token: 23
number: 43   score: [0.30610007]token: 96
number: 44   score: [0.34060362]token: 6
number: 45   score: [0.05237846]token: 30
number: 46   score: [0.29849213]token: 73
number: 48   score: [0.9998568]token: 182
number: 50   score: [0.9083236]token: 98
number: 51   score: [0.40327346]token: 13
number: 52   score: [0.9882178]token: 137
number: 53   score: [0.9784677]token: 81
number: 57   score: [0.32577983]token: 9
number: 59   score: [0.7792564]token: 25
number: 61   score: [0.38710397]token: 5
number: 62   score: [0.3991921]token: 10
number: 63   score: [0.16123526]token: 40
number: 65   score: [0.91901046]token: 47
number: 66   score: [0.90279144]token: 73
number: 67   score: [0.42688063]token: 12
number: 68   score: [0.2506373]token: 38
number: 70   score: [0.32577983]token: 9
number: 72   score: [0.0001239]token: 279
number: 73   score: [0.7988932]token: 79
number: 74   score: [0.9723246]token: 41
number: 75   score: [0.44347593]token: 14
number: 78   score: [0.536331]token: 27
number: 79   score: [0.8099102]token: 21
number: 81   score: [0.8963429]token: 71
number: 82   score: [0.32427993]token: 16
number: 85   score: [0.5100216]token: 9
number: 86   score: [0.89046407]token: 65
number: 87   score: [0.40712994]token: 13
number: 88   score: [0.79409087]token: 45
number: 89   score: [0.62699264]token: 61
number: 91   score: [0.4726282]token: 6
number: 92   score: [0.46512625]token: 10
number: 94   score: [0.2931863]token: 14
number: 95   score: [0.49815485]token: 5
number: 96   score: [0.6946014]token: 26
number: 97   score: [0.78067505]token: 56
number: 98   score: [0.43763027]token: 68
number: 99   score: [0.9688673]token: 72
number: 100   score: [0.9097641]token: 72
number: 101   score: [0.443417]token: 24
number: 102   score: [0.29697737]token: 67
number: 103   score: [0.10098487]token: 29
number: 104   score: [0.3599627]token: 5
number: 105   score: [0.6357259]token: 11
number: 106   score: [0.9468286]token: 236
number: 107   score: [0.33543834]token: 27
number: 108   score: [0.99927324]token: 92
number: 109   score: [0.39499542]token: 5
number: 111   score: [0.7719644]token: 23
number: 113   score: [0.9992425]token: 101
number: 115   score: [0.52051526]token: 19
number: 116   score: [0.68350124]token: 40
number: 117   score: [0.98873866]token: 50
number: 120   score: [0.8645613]token: 90
number: 121   score: [0.6083659]token: 24
number: 123   score: [0.3510996]token: 19
number: 124   score: [0.33530954]token: 6
number: 126   score: [0.41285956]token: 5
number: 127   score: [0.9987386]token: 156
number: 128   score: [0.35062167]token: 5
number: 129   score: [0.03738459]token: 25
number: 132   score: [0.67815137]token: 26
number: 133   score: [0.3294025]token: 12
number: 134   score: [0.49178576]token: 5
number: 135   score: [0.9936488]token: 100
number: 136   score: [0.3982346]token: 79
number: 138   score: [0.56532323]token: 5
number: 140   score: [0.27318317]token: 78
number: 141   score: [0.8109966]token: 330
number: 142   score: [0.48786306]token: 5
number: 143   score: [0.640863]token: 14
number: 144   score: [0.59198755]token: 14
number: 145   score: [0.06931759]token: 93
number: 146   score: [0.3628334]token: 15
number: 147   score: [0.39922363]token: 37
number: 148   score: [0.28435415]token: 31
number: 149   score: [0.6165181]token: 10
number: 152   score: [0.6090796]token: 10
number: 153   score: [0.65490365]token: 13
number: 154   score: [0.88801664]token: 54
number: 155   score: [0.99999464]token: 251
number: 156   score: [0.6161096]token: 22
number: 157   score: [0.3609663]token: 64
number: 160   score: [0.8902639]token: 74
number: 161   score: [0.9823367]token: 71
number: 163   score: [0.98269516]token: 90
number: 164   score: [0.09525969]token: 71
