number: 1   score: [0.949853]token: 36
number: 2   score: [0.9920089]token: 162
number: 3   score: [0.09486874]token: 34
number: 4   score: [0.99970883]token: 251
number: 5   score: [0.8028249]token: 119
number: 7   score: [0.3610088]token: 128
number: 8   score: [0.92971826]token: 44
number: 9   score: [0.12945005]token: 153
number: 10   score: [0.00062185]token: 85
number: 11   score: [0.9912415]token: 39
number: 12   score: [0.19272543]token: 37
number: 13   score: [0.00426691]token: 77
number: 14   score: [0.9750588]token: 145
number: 15   score: [0.00458948]token: 115
number: 16   score: [0.06469983]token: 77
number: 17   score: [0.5406412]token: 108
number: 18   score: [0.95497334]token: 51
number: 19   score: [0.3278934]token: 146
number: 20   score: [0.00482435]token: 59
number: 21   score: [0.98080945]token: 45
number: 22   score: [0.95631176]token: 197
number: 23   score: [0.99987924]token: 209
number: 24   score: [0.99669516]token: 64
number: 25   score: [0.918913]token: 148
number: 26   score: [0.0401188]token: 81
number: 27   score: [1.]token: 237
number: 28   score: [0.9782566]token: 203
number: 29   score: [0.31522372]token: 29
number: 30   score: [0.02312909]token: 36
number: 31   score: [0.6892343]token: 24
number: 32   score: [0.9999052]token: 95
number: 33   score: [0.7546059]token: 75
number: 34   score: [0.27185234]token: 117
number: 35   score: [0.03959443]token: 94
number: 36   score: [0.0679014]token: 130
number: 37   score: [0.00344778]token: 120
number: 38   score: [0.99803656]token: 75
number: 39   score: [0.9081742]token: 38
number: 40   score: [0.26901984]token: 84
number: 42   score: [0.379504]token: 36
number: 43   score: [4.2646734e-05]token: 92
number: 44   score: [0.02503147]token: 27
number: 45   score: [0.0954133]token: 50
number: 46   score: [0.00360138]token: 79
number: 47   score: [0.1970828]token: 65
